open,high,low,close,volume,vwap,timestamp,transactions
266.5,266.74,266.35,266.73,65150.0,266.5257,2024-01-17 15:45:00,1504
266.74,266.89,266.58,266.6375,53170.0,266.7827,2024-01-17 15:50:00,1175
266.635,266.6728,266.48,266.51,51868.0,266.5786,2024-01-17 15:55:00,1110
266.515,267.04,266.51,266.95,52303.0,266.8212,2024-01-17 16:00:00,1311
266.995,267.1,266.62,266.66,52587.0,266.9566,2024-01-17 16:05:00,1289
266.66,266.73,266.4501,266.51,34857.0,266.6272,2024-01-17 16:10:00,961
266.5339,266.69,266.49,266.515,30857.0,266.5948,2024-01-17 16:15:00,855
266.54,266.57,266.38,266.48,36462.0,266.4916,2024-01-17 16:20:00,891
266.47,266.69,266.47,266.51,37130.0,266.5911,2024-01-17 16:25:00,846
266.55,266.64,266.5,266.6315,33811.0,266.5765,2024-01-17 16:30:00,815
266.63,266.72,266.475,266.475,37903.0,266.6186,2024-01-17 16:35:00,890
266.475,266.475,266.18,266.27,22204.0,266.3295,2024-01-17 16:40:00,726
266.335,266.48,266.19,266.3911,31651.0,266.346,2024-01-17 16:45:00,808
266.405,266.41,266.11,266.29,36312.0,266.2209,2024-01-17 16:50:00,830
266.31,266.34,265.9,265.93,76570.0,266.0896,2024-01-17 16:55:00,1338
265.96,266.15,265.96,266.06,27727.0,266.052,2024-01-17 17:00:00,833
266.1057,266.145,265.99,265.99,21956.0,266.0683,2024-01-17 17:05:00,671
266.05,266.21,265.93,266.065,26117.0,266.0891,2024-01-17 17:10:00,773
266.05,266.05,265.84,265.97,21288.0,265.9202,2024-01-17 17:15:00,627
265.99,266.02,265.88,266.0,26651.0,265.958,2024-01-17 17:20:00,696
266.0,266.06,265.87,265.94,31736.0,265.9613,2024-01-17 17:25:00,916
265.94,265.99,265.84,265.94,30755.0,265.894,2024-01-17 17:30:00,815
265.98,266.17,265.94,266.17,27024.0,266.0347,2024-01-17 17:35:00,755
266.185,266.22,265.945,265.97,22227.0,266.119,2024-01-17 17:40:00,748
265.945,266.1,265.94,266.02,25477.0,266.0134,2024-01-17 17:45:00,730
266.03,266.26,266.03,266.16,23016.0,266.1723,2024-01-17 17:50:00,726
266.175,266.22,266.13,266.145,20900.0,266.179,2024-01-17 17:55:00,608
266.13,266.33,266.13,266.33,18884.0,266.2338,2024-01-17 18:00:00,674
266.32,266.32,266.18,266.21,22125.0,266.2514,2024-01-17 18:05:00,750
266.21,266.21,266.01,266.035,29205.0,266.1,2024-01-17 18:10:00,855
266.05,266.09,265.97,266.045,38457.0,266.0496,2024-01-17 18:15:00,946
266.03,266.03,265.65,265.65,45508.0,265.8663,2024-01-17 18:20:00,908
265.63,265.8165,265.59,265.7,20569.0,265.6919,2024-01-17 18:25:00,725
265.68,265.8399,265.6,265.71,40072.0,265.7386,2024-01-17 18:30:00,1048
265.73,265.8,265.46,265.5,25809.0,265.6677,2024-01-17 18:35:00,681
265.5225,265.54,265.32,265.535,41988.0,265.4309,2024-01-17 18:40:00,933
265.54,265.57,265.35,265.3583,51449.0,265.4937,2024-01-17 18:45:00,827
265.405,265.73,265.36,265.65,43719.0,265.5246,2024-01-17 18:50:00,976
265.675,265.7,265.55,265.64,29456.0,265.6256,2024-01-17 18:55:00,764
265.645,265.83,265.59,265.83,37076.0,265.7095,2024-01-17 19:00:00,764
265.875,265.885,265.64,265.84,28405.0,265.7872,2024-01-17 19:05:00,733
265.835,265.88,265.68,265.73,22918.0,265.7835,2024-01-17 19:10:00,673
265.75,266.045,265.73,265.99,28041.0,265.9074,2024-01-17 19:15:00,823
265.99,266.11,265.93,266.02,31232.0,265.9978,2024-01-17 19:20:00,871
266.0147,266.07,265.89,265.98,25839.0,265.9934,2024-01-17 19:25:00,756
266.01,266.05,265.84,265.84,33054.0,265.978,2024-01-17 19:30:00,793
265.87,266.03,265.81,265.81,72830.0,265.9786,2024-01-17 19:35:00,949
265.815,266.08,265.815,266.0,31228.0,265.939,2024-01-17 19:40:00,1055
266.01,266.035,265.76,265.87,42370.0,265.8855,2024-01-17 19:45:00,960
265.885,265.89,265.71,265.78,24228.0,265.7947,2024-01-17 19:50:00,738
265.775,265.94,265.76,265.88,23056.0,265.8601,2024-01-17 19:55:00,773
265.89,265.92,265.79,265.87,23249.0,265.8707,2024-01-17 20:00:00,812
265.86,265.9,265.69,265.735,33590.0,265.8071,2024-01-17 20:05:00,957
265.75,265.78,265.54,265.6,47139.0,265.6334,2024-01-17 20:10:00,1184
265.61,265.75,265.5276,265.71,37013.0,265.6377,2024-01-17 20:15:00,1071
265.72,265.72,265.45,265.56,58753.0,265.5828,2024-01-17 20:20:00,1431
265.525,265.68,265.52,265.59,67236.0,265.6051,2024-01-17 20:25:00,1739
265.6,265.875,265.6,265.82,73603.0,265.7645,2024-01-17 20:30:00,1666
265.845,266.02,265.81,265.87,60977.0,265.9368,2024-01-17 20:35:00,1411
265.87,266.01,265.84,265.945,68293.0,265.9284,2024-01-17 20:40:00,1739
265.95,266.31,265.92,266.23,69566.0,266.1328,2024-01-17 20:45:00,2047
266.22,266.74,266.21,266.64,148246.0,266.5518,2024-01-17 20:50:00,3677
266.6,266.875,266.55,266.66,306447.0,266.7363,2024-01-17 20:55:00,5790
266.71,266.76,266.63,266.63,341714.0,266.6301,2024-01-17 21:00:00,36
266.63,266.63,266.63,266.63,129.0,266.6323,2024-01-17 21:05:00,4
266.63,266.63,266.5,266.5,1476.0,266.5961,2024-01-17 21:20:00,4
266.49,266.49,266.49,266.49,101.0,266.4773,2024-01-17 23:25:00,2
266.5,266.5,266.5,266.5,300.0,266.4841,2024-01-17 23:50:00,5
266.64,266.64,266.0,266.0,1146.0,266.2366,2024-01-18 10:45:00,36
266.78,266.78,266.78,266.78,275.0,266.7822,2024-01-18 11:30:00,8
266.75,266.75,265.19,265.8,885.0,266.2358,2024-01-18 13:00:00,66
267.4999,267.4999,267.4999,267.4999,100.0,267.4999,2024-01-18 13:30:00,1
267.91,267.91,267.91,267.91,396.0,267.9853,2024-01-18 14:20:00,23
268.09,268.09,268.09,268.09,418.0,268.0293,2024-01-18 14:25:00,18
267.88,268.37,267.173,268.37,304882.0,267.8688,2024-01-18 14:30:00,3204
268.45,268.45,267.47,267.65,50897.0,267.7539,2024-01-18 14:35:00,1464
267.6383,267.75,267.4,267.59,84923.0,267.5485,2024-01-18 14:40:00,1733
267.65,268.13,267.53,268.08,123918.0,267.9288,2024-01-18 14:45:00,1732
268.09,268.09,267.495,267.675,63566.0,267.7755,2024-01-18 14:50:00,1412
267.7,268.0,267.44,267.92,55962.0,267.6434,2024-01-18 14:55:00,1172
267.915,268.17,267.29,267.415,130870.0,267.599,2024-01-18 15:00:00,2152
267.44,267.65,266.85,266.88,95755.0,267.1866,2024-01-18 15:05:00,2183
266.895,267.205,266.71,266.955,91169.0,266.9739,2024-01-18 15:10:00,2125
266.93,267.44,266.93,267.24,306089.0,267.1382,2024-01-18 15:15:00,1755
267.22,267.23,266.85,267.16,46829.0,267.0095,2024-01-18 15:20:00,1123
267.18,267.43,267.17,267.36,43507.0,267.284,2024-01-18 15:25:00,1069
267.36,267.56,267.02,267.165,60441.0,267.289,2024-01-18 15:30:00,1346
267.19,267.39,267.1,267.3,61363.0,267.2743,2024-01-18 15:35:00,1257
267.33,267.54,267.25,267.45,57401.0,267.4076,2024-01-18 15:40:00,1271
267.445,267.445,267.14,267.41,41892.0,267.2761,2024-01-18 15:45:00,960
267.42,267.44,267.22,267.35,43807.0,267.3545,2024-01-18 15:50:00,989
267.335,267.56,267.1738,267.4125,52880.0,267.3734,2024-01-18 15:55:00,1117
267.4002,267.405,267.105,267.1775,39632.0,267.2527,2024-01-18 16:00:00,880
267.18,267.59,267.18,267.46,41340.0,267.4522,2024-01-18 16:05:00,922
267.48,267.605,267.28,267.4,63201.0,267.4295,2024-01-18 16:10:00,1086
267.44,267.67,267.37,267.49,57752.0,267.5068,2024-01-18 16:15:00,1046
267.49,267.605,267.39,267.56,57889.0,267.496,2024-01-18 16:20:00,1014
267.54,267.65,267.4464,267.65,48054.0,267.5666,2024-01-18 16:25:00,919
267.65,267.665,267.49,267.61,45810.0,267.5918,2024-01-18 16:30:00,927
267.61,267.67,267.5,267.505,34592.0,267.5947,2024-01-18 16:35:00,778
267.53,267.61,267.49,267.53,30772.0,267.5459,2024-01-18 16:40:00,776
267.53,267.58,267.4,267.485,42063.0,267.4761,2024-01-18 16:45:00,880
267.48,267.62,267.45,267.46,27791.0,267.5387,2024-01-18 16:50:00,801
267.51,267.57,267.39,267.475,37027.0,267.4861,2024-01-18 16:55:00,935
267.47,267.49,266.66,266.67,64864.0,267.1103,2024-01-18 17:00:00,1124
266.66,266.81,266.49,266.67,30885.0,266.6402,2024-01-18 17:05:00,824
266.67,266.67,266.415,266.56,19669.0,266.5353,2024-01-18 17:10:00,589
266.54,266.75,266.4975,266.64,32006.0,266.6487,2024-01-18 17:15:00,698
266.65,266.95,266.61,266.85,24471.0,266.7864,2024-01-18 17:20:00,637
266.875,266.96,266.835,266.9,18914.0,266.893,2024-01-18 17:25:00,457
266.9003,266.91,266.725,266.725,19538.0,266.8359,2024-01-18 17:30:00,537
266.76,266.795,266.62,266.73,31263.0,266.7172,2024-01-18 17:35:00,672
266.715,266.77,266.54,266.59,36167.0,266.6814,2024-01-18 17:40:00,979
266.59,267.005,266.59,266.95,22469.0,266.8396,2024-01-18 17:45:00,504
266.96,267.0,266.72,266.75,18139.0,266.8623,2024-01-18 17:50:00,510
266.745,266.86,266.66,266.84,16466.0,266.7588,2024-01-18 17:55:00,494
266.86,266.86,266.53,266.83,21364.0,266.7433,2024-01-18 18:00:00,603
266.8,267.07,266.8,267.025,19686.0,266.9468,2024-01-18 18:05:00,572
267.045,267.14,266.93,267.033,21520.0,267.0178,2024-01-18 18:10:00,616
267.01,267.19,266.96,267.0107,17081.0,267.0615,2024-01-18 18:15:00,478
267.02,267.35,267.01,267.275,20663.0,267.1736,2024-01-18 18:20:00,560
267.24,267.35,267.16,267.27,27133.0,267.2579,2024-01-18 18:25:00,623
267.255,267.48,267.24,267.375,25305.0,267.3562,2024-01-18 18:30:00,622
267.3798,267.54,267.3798,267.49,34431.0,267.4468,2024-01-18 18:35:00,701
267.4923,267.68,267.44,267.595,34334.0,267.5415,2024-01-18 18:40:00,834
267.63,267.69,267.565,267.64,21775.0,267.6215,2024-01-18 18:45:00,625
267.635,267.765,267.61,267.73,24525.0,267.6906,2024-01-18 18:50:00,734
267.75,267.79,267.68,267.73,22609.0,267.7422,2024-01-18 18:55:00,661
267.76,267.845,267.68,267.845,23775.0,267.774,2024-01-18 19:00:00,664
267.85,267.91,267.78,267.86,26309.0,267.8514,2024-01-18 19:05:00,711
267.88,268.01,267.855,267.92,38157.0,267.9307,2024-01-18 19:10:00,831
267.93,268.04,267.88,267.98,35707.0,267.9641,2024-01-18 19:15:00,859
268.02,268.34,267.945,268.26,48406.0,268.1043,2024-01-18 19:20:00,1032
268.25,268.265,268.14,268.18,37031.0,268.1839,2024-01-18 19:25:00,822
268.21,268.335,268.21,268.285,30301.0,268.2757,2024-01-18 19:30:00,766
268.29,268.42,268.29,268.32,36454.0,268.354,2024-01-18 19:35:00,904
268.34,268.36,268.035,268.05,42513.0,268.1636,2024-01-18 19:40:00,995
268.05,268.14,267.895,268.065,53209.0,268.0136,2024-01-18 19:45:00,1047
268.08,268.3303,268.05,268.2,32849.0,268.1801,2024-01-18 19:50:00,732
268.2297,268.3,268.15,268.28,34155.0,268.238,2024-01-18 19:55:00,727
268.29,268.37,268.21,268.33,30673.0,268.3059,2024-01-18 20:00:00,806
268.32,268.46,268.21,268.41,36304.0,268.3145,2024-01-18 20:05:00,1022
268.43,268.515,268.34,268.38,49588.0,268.4143,2024-01-18 20:10:00,1063
268.375,268.56,268.35,268.355,46412.0,268.4665,2024-01-18 20:15:00,977
268.31,268.44,268.31,268.36,36223.0,268.3841,2024-01-18 20:20:00,861
268.4,268.52,268.37,268.445,30896.0,268.4351,2024-01-18 20:25:00,1003
268.445,268.525,268.41,268.52,46518.0,268.4744,2024-01-18 20:30:00,1196
268.54,268.705,268.53,268.53,63721.0,268.6215,2024-01-18 20:35:00,1507
268.53,268.655,268.495,268.54,67800.0,268.59,2024-01-18 20:40:00,1637
268.52,268.53,268.392,268.465,85377.0,268.4716,2024-01-18 20:45:00,1873
268.46,268.78,268.36,268.48,137952.0,268.5471,2024-01-18 20:50:00,3058
268.499,268.5,268.1,268.16,436328.0,268.28,2024-01-18 20:55:00,5717
268.14,268.14,268.14,268.14,38098.0,268.139,2024-01-18 21:00:00,38
268.2,268.2,268.14,268.14,15862.0,268.1438,2024-01-18 21:05:00,6
268.14,268.14,268.14,268.14,1458.0,268.1419,2024-01-18 21:15:00,3
268.14,268.14,268.14,268.14,14398.0,268.1394,2024-01-18 21:20:00,6
268.5994,268.5994,268.5994,268.5994,200.0,268.5994,2024-01-18 22:05:00,1
269.0,269.0,269.0,269.0,101.0,269.0,2024-01-19 09:10:00,2
268.97,268.97,268.97,268.97,600.0,268.97,2024-01-19 10:05:00,27
268.78,268.8,268.78,268.8,450.0,268.7906,2024-01-19 12:30:00,13
268.63,268.63,268.63,268.63,317.0,268.6338,2024-01-19 12:40:00,8
268.74,268.85,268.72,268.85,1430.0,268.7939,2024-01-19 12:55:00,30
